game,song_name,credit
Advance Wars 2: Black Hole Rising,Colin's Theme,Commander6
Advance Wars 2: Black Hole Rising,Ending Theme,Thomas Wilson
Advance Wars 2: Black Hole Rising,Hawke Theme,Thomas Wilson
Advance Wars 2: Black Hole Rising,Sensei's Theme,Commander6
Advance Wars 2: Black Hole Rising,Super CO Power,Thomas Wilson
Banjo-Kazooie: Grunty's Revenge,Breegull Beach,Jack
Banjo-Kazooie: Grunty's Revenge,Spiller's Harbor,The Deku Trombonist
Banjo-Pilot,Lava Track,Jack
Bomberman Tournament,Arctic Valley,The Deku Trombonist
Bomberman Tournament,Bomber Base,Don Valentino
Bomberman Tournament,Overworld,WiiMan96
Bomberman Tournament,Town,WiiMan96
Castlevania: Aria of Sorrow,Chapel,Commander6
Castlevania: Aria of Sorrow,Clocktower,Commander6
Castlevania: Aria of Sorrow,Demon Castle Study,Atcero
Castlevania: Aria of Sorrow,Phantom Palace (Inner Quarters),Atcero
Castlevania: Circle of the Moon,Aquarius,Atcero
Castlevania: Circle of the Moon,Awake,Atcero
Castlevania: Circle of the Moon,Fate To Despair,Commander6
Castlevania: Harmony of Dissonance,Clock Tower Casualty,Tobbeh99
Castlevania: Harmony of Dissonance,Clock Tower Casualty (Four Hands),Tobbeh99
Castlevania: Harmony of Dissonance,Dark Covenant (Theme of Death),Tobbeh99
Castlevania: Harmony of Dissonance,Incarnation of Darkness (Theme of Dracula),Tobbeh99
Castlevania: Harmony of Dissonance,Prologue (Theme of Maxim Kischine),Tobbeh99
Castlevania: Harmony of Dissonance,Successor of Fate (Theme of Juste Belmont),Tobbeh99
Castlevania: Harmony of Dissonance,Title Screen,Tobbeh99
Donkey Kong Country 3,Treetop Tumble,Joel Hands-Otte
Dragon Ball Z: The Legacy of Goku II,Goku's Home,Onionleaf
Fire Emblem: The Binding Blade,Beyond Distant Skies - Roy's Departure,Maelstrom
Fire Emblem: The Binding Blade,Dark Priestess,Pyre
Fire Emblem: The Binding Blade,Shaman in the Dark,Pyre
Fire Emblem: The Blazing Blade,Anguish,Jimbabwe
Fire Emblem: The Blazing Blade,Black Fang,Libera
Fire Emblem: The Blazing Blade,Distant Travels,Commander6
Fire Emblem: The Blazing Blade,Everything into the Dark,Libera
Fire Emblem: The Blazing Blade,Fortune-Telling,Jimbabwe
Fire Emblem: The Blazing Blade,Girl of the Plains: Lyn's Theme,Libera
Fire Emblem: The Blazing Blade,Going My Way,SlimyWyvern
Fire Emblem: The Blazing Blade,Lyn's Desire,Libera
Fire Emblem: The Blazing Blade,Reminiscence,3dward_3lric
Fire Emblem: The Blazing Blade,Requiem,Maelstrom
Fire Emblem: The Blazing Blade,Shadow Approaches,Libera
Fire Emblem: The Blazing Blade,Shattered Life,Libera
Fire Emblem: The Blazing Blade,Strike,Libera
Fire Emblem: The Blazing Blade,"Together, We Ride!",Maelstrom
Fire Emblem: The Sacred Stones,Combat Preparations,Maelstrom
Fire Emblem: The Sacred Stones,Comrades,Zeila
Fire Emblem: The Sacred Stones,Final Battle,Maelstrom
Fire Emblem: The Sacred Stones,Lost Heart,Libera
Fire Emblem: The Sacred Stones,Lyon,Pyre
Fire Emblem: The Sacred Stones,Lyon (Organ Arrangement),Pyre
Fire Emblem: The Sacred Stones,Rise Above,GC_Midnight
Fire Emblem: The Sacred Stones,The Prince's Despair,Pyre
Game & Watch Gallery 4,Title Screen,Nine Lives
Game Boy Advance BIOS,Startup,Th3Gavst3r
Golden Sun,Babi's Theme,Thomas Wilson
Golden Sun,Battle Theme,Thomas Wilson
Golden Sun,Battle! [Non-Adept],Onionleaf
Golden Sun,Battle! [Saturos],Petpetfood
Golden Sun,Colosso Battle,Thomas Wilson
Golden Sun,Colosso Starts!,Onionleaf
Golden Sun,Death,Thomas Wilson
Golden Sun,Fanfares Collection,Onionleaf
Golden Sun,Fusion Dragon Battle,Thomas Wilson
Golden Sun,Imil's Theme,Sam Waetford
Golden Sun,Ivan's Theme,Thomas Wilson
Golden Sun,Kalay,Thomas Wilson
Golden Sun,Kolima Forest,Jimbabwe
Golden Sun,Lalivero,Thomas Wilson
Golden Sun,McCoy's Palace,Onionleaf
Golden Sun,Menu Screen,Thomas Wilson
Golden Sun,Mercury Lighthouse,Thomas Wilson
Golden Sun,Oriental,Onionleaf
Golden Sun,Overworld,Sam Waetford
Golden Sun,Revive Party Member,Sam Waetford
Golden Sun,Saturos and Menardi,Fantastic Ike
Golden Sun,Saturos and Menardi Battle,Thomas Wilson
Golden Sun,Set Sail! Through the Karagol Sea,Onionleaf
Golden Sun,Suhalla Desert,Thomas Wilson
Golden Sun,The Elemental Stars,Onionleaf
Golden Sun,The Storm,Thomas Wilson
Golden Sun,Title Screen,Thomas Wilson
Golden Sun,Tolbi Docks,Thomas Wilson
Golden Sun,Tret Tree,Thomas Wilson
Golden Sun,Vale Town,Sam Waetford
Golden Sun,Venus Lighthouse,Maelstrom
Golden Sun,Victory Fanfare,Thomas Wilson
Golden Sun: The Lost Age,Agatio and Karst Encounter,Thomas Wilson
Golden Sun: The Lost Age,Air's Rock,Thomas Wilson
Golden Sun: The Lost Age,Alone,Thomas Wilson
Golden Sun: The Lost Age,Ankohl Ruins,Onionleaf
Golden Sun: The Lost Age,Apojii Islands,Onionleaf
Golden Sun: The Lost Age,Aqua Rock,Thomas Wilson
Golden Sun: The Lost Age,Boat Battle,Thomas Wilson
Golden Sun: The Lost Age,Caves,Sam Waetford
Golden Sun: The Lost Age,Children's Song,Thomas Wilson
Golden Sun: The Lost Age,Dehkan Plateau,Thomas Wilson
Golden Sun: The Lost Age,Doom Dragon Battle,Thomas Wilson
Golden Sun: The Lost Age,Epilogue,Thomas Wilson
Golden Sun: The Lost Age,Felix Battle,Thomas Wilson
Golden Sun: The Lost Age,Final Beacon,Thomas Wilson
Golden Sun: The Lost Age,Gaia Rock,Thomas Wilson
Golden Sun: The Lost Age,Garoh,Thomas Wilson
Golden Sun: The Lost Age,Jenna Battle Theme,Thomas Wilson
Golden Sun: The Lost Age,Jupiter Lighthouse,Thomas Wilson
Golden Sun: The Lost Age,Lemuria,Nocturne
Golden Sun: The Lost Age,Magma Rock,Jimbabwe
Golden Sun: The Lost Age,Mars Lighthouse,Thomas Wilson
Golden Sun: The Lost Age,Overworld 2,Sam Waetford
Golden Sun: The Lost Age,Prox,Thomas Wilson
Golden Sun: The Lost Age,Ship Sailing,Thomas Wilson
Golden Sun: The Lost Age,Super Lucky Dice,Thomas Wilson
Golden Sun: The Lost Age,The Golden Sun Rises,Thomas Wilson
Golden Sun: The Lost Age,Title Theme,Thomas Wilson
Golden Sun: The Lost Age,Village Theme,Sam Waetford
Golden Sun: The Lost Age,Yallam,Thomas Wilson
Hamtaro: Ham-Ham Heartbreak,Boo Manor,Altissimo
Hamtaro: Ham-Ham Heartbreak,Final Credits,Th3Gavst3r
Hamtaro: Ham-Ham Heartbreak,Sandy Bay,Code_Name_Geek
Hamtaro: Ham-Ham Heartbreak,Sandy Bay Island,Don Valentino
Harvest Moon: Friends of Mineral Town,Fall,Code_Name_Geek
Harvest Moon: Friends of Mineral Town,Summer,Code_Name_Geek
Harvest Moon: Friends of Mineral Town,Title Theme,Code_Name_Geek
Kingdom Hearts: Chain of Memories,Dearly Beloved,Echo
Kingdom Hearts: Chain of Memories,Sinister Sundown,Echo
Kingdom Hearts: Chain of Memories,The 13th Struggle,Echo
Kirby & The Amazing Mirror,Cabbage Cavern,tallonmetroid
Kirby & The Amazing Mirror,Candy Constellation,Altissimo
Kirby & The Amazing Mirror,Dark Meta Knight,Dekkadeci
Kirby & The Amazing Mirror,Olive Ocean,Rubikium
Kirby & The Amazing Mirror,Peppermint Palace,LeviR.star
Kirby & The Amazing Mirror,Radish Ruins,LeviR.star
Kirby & The Amazing Mirror,Rainbow Route,stellarlights24
Kirby: Nightmare in Dream Land,Main Menu,LeviR.star
Mario & Luigi: Superstar Saga,Beanbean Castle,Sebastian
Mario & Luigi: Superstar Saga,Boss Theme,Nocturne
