game,song_name,credit
Octopath Traveler,"Cyrus, the Scholar",Maelstrom
Octopath Traveler,Daughter of the Dark God,Latios212
Octopath Traveler,Determination,Latios212
Octopath Traveler,"Flamesgrace, Guiding Light",Static
Octopath Traveler,"H'aanit, the Hunter",Maelstrom
Octopath Traveler,My Quiet Forest Home,Latios212
Octopath Traveler,"Olberic, the Warrior",Maelstrom
Octopath Traveler,On a Knife's Edge,Latios212
Octopath Traveler,"Ophilia, the Cleric",Maelstrom
The Legend of Zelda: Spirit Tracks,Tower of Spirits Staircase,TwinAdam
The Legend of Zelda: Spirit Tracks,Troubled Realm,NocturneOfShadow
Theresia,Memory's Lies,Olimar12345
Theresia,Opening Song,Olimar12345
Wario: Master of Disguise,Treasure Binder,Darkwario1
Wario: Master of Disguise,VS Head Honcho Carpaccio,Don Valentino
Wario: Master of Disguise,VS Head Honcho Carpaccio (Two Pianos),Don Valentino
WarioWare D.I.Y.,Graphics Editor,Nine Lives
WarioWare: Touched!,Ashley's Song,BrainyLucario
Yoshi Touch & Go,Title Screen,Don Valentino
Yoshi's Island DS,Castle & Fortress,LeviR.star
Paper Mario: The Thousand-Year Door,Fahr Outpost,Static
Paper Mario: The Thousand-Year Door,File Select,PianoMan
Paper Mario: The Thousand-Year Door,Glitz Pit,The Deku Trombonist
Paper Mario: The Thousand-Year Door,Glitzville,Sebastian
Paper Mario: The Thousand-Year Door,Hall of the Thousand-Year Door,Jegilmer
Paper Mario: The Thousand-Year Door,Hooktail Castle,Jegilmer
Paper Mario: The Thousand-Year Door,Level Up!,Bloop
Paper Mario: The Thousand-Year Door,Luigi's Story,Sebastian
Paper Mario: The Thousand-Year Door,Magnus Von Grapple Battle,Sebastian
Paper Mario: The Thousand-Year Door,Mario and Luigi's House,Sebastian
Paper Mario: The Thousand-Year Door,Mini-boss,Sebastian
Paper Mario: The Thousand-Year Door,Miscellaneous Sound Effects and Short Themes,Bloop
Paper Mario: The Thousand-Year Door,Ms. Jolene's Theme,Sebastian
Paper Mario: The Thousand-Year Door,Mysteries of the Pit,Sebastian
Paper Mario: The Thousand-Year Door,Peach Mail,G-Han
Mega Man 4,Skull Man,Commander6
Mega Man 4,Title Screen,LeviR.star
Mega Man 4,Wily's Stages 2,Commander6
Mega Man 5,Charge Man Stage,Dudeman
Mega Man 5,Crystal Man Stage,Dudeman
Mega Man 5,Dr. Wily Stage,LeviR.star
Mega Man 5,Stoneman,Commander6
Mega Man 6,Flameman,Commander6
Mega Man 6,Intro,Dudeman
Mega Man 6,Last Boss,Don Valentino
Mega Man 6,Mr. X Stage,Dudeman
Mega Man 6,Stage Select,LeviR.star
Metal Gear,Jungle Theme,PetrifiedLasagna
Octopath Traveler,"Orewell, Beneath the Crags",Latios212
Octopath Traveler,"Primrose, the Dancer",Maelstrom
Octopath Traveler,Requiem for the Fallen,Latios212
Octopath Traveler,River of Life,Latios212
Octopath Traveler,"Stolen Dreams, Lost Light",Static
Octopath Traveler,The Frostlands,Latios212
Octopath Traveler,The Gate of Finis (Four Hands),Latios212
Octopath Traveler,The Riverlands,Static
Octopath Traveler,"Therion, the Thief",Maelstrom
Octopath Traveler,Town Veiled in White,Static
Octopath Traveler,"Tressa, the Merchant",Latios212
Octopath Traveler,"Victors Hollow, Jewel of the Forest",Latios212
Paper Mario: The Origami King,Autumn Mountain Battle,mastersuperfan
Paper Mario: The Origami King,Disco Devil,ManOfDucks
Yoshi's Island DS,Wildlands,Latios212
Yoshi's Island DS,Yoshi's Island,Latios212
Paper Mario: The Thousand-Year Door,Petal Meadows,Bloop
Paper Mario: The Thousand-Year Door,Petalburg,The Deku Trombonist
Paper Mario: The Thousand-Year Door,Pianta Parlor,Bloop
Paper Mario: The Thousand-Year Door,Poshley Heights,spitllama
Paper Mario: The Thousand-Year Door,Professor Frankly's Theme,Jegilmer
Paper Mario: The Thousand-Year Door,Reunion,Sebastian
Paper Mario: The Thousand-Year Door,Riverside Station,Static
Paper Mario: The Thousand-Year Door,Rogueport,Static
Paper Mario: The Thousand-Year Door,Rogueport Sewers,Bloop
Paper Mario: The Thousand-Year Door,Shadow Siren Scuffle,spitllama
Paper Mario: The Thousand-Year Door,Smorgs Battle,Sebastian
Paper Mario: The Thousand-Year Door,TEC's Waltz,Sebastian
Paper Mario: The Thousand-Year Door,Title Theme,spitllama
Paper Mario: The Thousand-Year Door,Twilight Town,Sebastian
Paper Mario: The Thousand-Year Door,Voyage,Sebastian
Metroid,Brinstar,Brian Auyeung
Metroid,Ending Theme,Olimar12345
Metroid,Escape Theme,MetroidHunter26
Metroid,Game Start,Olimar12345
Metroid,Item Found,Megaman64
Metroid,Kraid's Hideout,G-Han
Metroid,Norfair,Olimar12345
Metroid,Ridley's Hideout,Tranzlater
Metroid,Silence,Olimar12345
Metroid,Title Theme,Olimar12345
Metroid,Tourian,Olimar12345
Metroid,Zebetite,Olimar12345
Mike Tyson's Punch-Out!!,Fight Theme,G-Man
Monster Party,Title Screen,Yug Guy
Niji no Silkroad,Persia,Jacopo Tore
Paper Mario: The Origami King,Exploring Shangri-Spa,Latios212
Paper Mario: The Origami King,Heartbeat Skipper,mastersuperfan
Paper Mario: The Origami King,Musée Champignon,Rubikium
Paper Mario: The Origami King,Olivia's Plea,XiaoMigros
Paper Mario: The Origami King,Red Streamer Battle,Rubikium
Paper Mario: The Origami King,Relaxing Café Theme,Nacho2420
Paper Mario: The Origami King,Shroom City,mastersuperfan
Paper Mario: The Origami King,Snif City Royal Hotel,mastersuperfan
Paper Mario: The Origami King,The Elastic Entertainer,mastersuperfan
Paper Mario: The Origami King,The Shifty Sticker,ManOfDucks
Paper Mario: The Origami King,Tranquil Pipes Teahouse,mastersuperfan
Paper Mario: The Origami King,Vellumental Battle,Greg
Part Time UFO,Treasure Island - Ruins,Maelstrom
Pikmin 4,Title Theme,XiaoMigros
Paper Mario: The Thousand-Year Door,X-Mail,Jegilmer
Paper Mario: The Thousand-Year Door,X-Naut Fortress,Bloop
Pikmin,Ai no Uta,Latios212
Pikmin,Night Comes,The Deku Trombonist
Pikmin,The Forest Navel,Static
Pikmin,The Forest of Hope,Static
Pikmin 2,Jellyfloat Pool,Olimar12345
Pikmin 2,Wistful Wild,The Deku Trombonist
Pokémon Channel,Home,Th3Gavst3r
Pokémon Channel,Poképad (Pause Menu),Korados
Pokémon Channel,Smeargle's Art Study,Don Valentino
Pokémon Colosseum,Agate Village,Kricketune54
Ninja Gaiden,At the End of the Battle,Jacopo Tore
Ninja Gaiden,Mysterious Woman,Jacopo Tore
Ninja Gaiden,The Amazing Ryu (4-2),LeviR.star
Nintendo World Cup,Matches 4-6,FireArrow
Princess Tomato in the Salad Kingdom,Ending / Staff Roll,Jacopo Tore
Princess Tomato in the Salad Kingdom,Password,Lumaga
R.B.I. Baseball,Chance BGM,Jacopo Cat
Rad Racer,Music One,WiiMan96
Shadowgate,Banquet Hall,Atcero
Shadowgate,Battle to the Death,Atcero
Shadowgate,Courtyard,Atcero
Shadowgate,Dragon's Den,Atcero
Shadowgate,Entryway,Atcero
Pokémon Legends: Arceus,Chat with the Professor,Latios212
Pokémon Quest,Going on an Expedition,Joel Hands-Otte
Pokémon Quest,Going on an Expedition (Two Pianos),Joel Hands-Otte
Pokémon Scarlet & Violet,Making a Sandwich,XiaoMigros
Pokémon Sword & Pokémon Shield,Battle! (Calyrex),Kricketune54
Pokémon Sword & Pokémon Shield,Once Upon a Time...,FiveNineSquared
Pokémon Sword & Pokémon Shield,The Isle of Armor,FiveNineSquared
"Pokémon: Let's Go, Pikachu! & Pokémon: Let's Go, Eevee!",Congratulations!,Latios212
"Pokémon: Let's Go, Pikachu! & Pokémon: Let's Go, Eevee!",Cubone's Mother,Latios212
Ring Fit Adventure,Title A,invy
Shin Megami Tensei V,Battle -origin-,Static
Pokémon Colosseum,Cipher Admin Battle,Kricketune54
Pokémon Colosseum,Cipher Peon Battle,Kricketune54
Pokémon Colosseum,Cipher Syndicate,Pianist Da Sootopolis
Pokémon Colosseum,Colosseum Battle Round Intros,Kricketune54
Pokémon Colosseum,Colosseum Round 3 Battle,Kricketune54
Pokémon Colosseum,Es Cade Theme,Kricketune54
Pokémon Colosseum,Friendly Battle,Kricketune54
Pokémon Colosseum,Main Menu,Kricketune54
Pokémon Colosseum,Miror B.'s Retro Groove,Kricketune54
Pokémon Colosseum,Mt. Battle,Don Valentino
Pokémon Colosseum,Mt. Battle Rest Room,Kricketune54
Pokémon Colosseum,Nascour's Theme,Kricketune54
Pokémon Colosseum,Normal Battle,Kricketune54
Pokémon Colosseum,Outskirt Stand,Bubbles
Shadowgate,Game Over,Atcero
Shadowgate,Hall of Mirrors,Atcero
Shadowgate,Subterranean Cavern,Atcero
Shadowgate,Title Screen,Atcero
Shadowgate,Twilight,Atcero
Shin Onigashima,Eighth Chapter: Giant Dragon,WandringMinstrel
Shin Onigashima,Ending,WandringMinstrel
Shin Onigashima,Fifth Chapter: Castle Ruins,WandringMinstrel
Shin Onigashima,Fifth Chapter: Gate Watcher Oni,WandringMinstrel
Shin Onigashima,First Chapter: At Home,WandringMinstrel
Shin Onigashima,First Chapter: Road Through the Mountains,WandringMinstrel
Shin Onigashima,Fourth Chapter: Lake,WandringMinstrel
Shin Onigashima,Fourth Chapter: Lord Hinoe,WandringMinstrel
Splatoon 2,Now or Never!,Tangy
Story of Seasons: Friends of Mineral Town,Autumn (Alternate),Code_Name_Geek
Super Mario 3D World + Bowser's Fury,Crisp Climb Castle,ManOfDucks
Super Mario Maker 2,Castle (Super Mario World) (Night),Th3Gavst3r
Super Mario Maker 2,Desert (Super Mario World),Apind
Super Mario Odyssey,Bonneton (Four Hands),amc
Super Mario Odyssey,Climactic Duel!,mastersuperfan
Super Mario Odyssey,Forgotten Isle,Sebastian
Super Mario Odyssey,Honeylune Ridge,Rubikium
Super Mario Odyssey,New Donk City,Latios212
Super Mario Odyssey,Peronza Plaza,Latios212
Super Mario Odyssey,Poolside Rest,XiaoMigros
Pokémon Colosseum,Pyrite Building,Pianist Da Sootopolis
Pokémon Colosseum,Pyrite Town,Latios212
Pokémon Colosseum,Relic Forest,Kricketune54
Pokémon Colosseum,Relic Forest in Danger,Bubbles
Pokémon Colosseum,The Under,Kricketune54
Pokémon Colosseum,Title Screen,Kricketune54
Pokémon Colosseum,World Map,Kricketune54
Pokémon XD: Gale of Darkness,Cipher Admin Theme,Kricketune54
Pokémon XD: Gale of Darkness,Citadark Isle,Kricketune54
Pokémon XD: Gale of Darkness,Jovi is Sad,Kricketune54
Pokémon XD: Gale of Darkness,S.S. Libra,Kricketune54
Pokémon XD: Gale of Darkness,The Hexagon Brothers,Kricketune54
Resident Evil 4,Save Theme,Static
Star Fox Adventures,Cloudrunner Fortress,The Deku Trombonist
Shin Onigashima,Fourth Chapter: Neighboring Village,WandringMinstrel
Shin Onigashima,Ninth Chapter: Final Scene,WandringMinstrel
Shin Onigashima,Second Chapter: At Home,WandringMinstrel
Shin Onigashima,Second Chapter: At Home (Night),WandringMinstrel
Shin Onigashima,Second Chapter: Story of the Dragon,WandringMinstrel
Shin Onigashima,Seventh Chapter: Cave,WandringMinstrel
Shin Onigashima,Seventh Chapter: Ohana,WandringMinstrel
Shin Onigashima,Seventh Chapter: Shinohara,WandringMinstrel
Shin Onigashima,Sixth Chapter: Forest,WandringMinstrel
Shin Onigashima,Sixth Chapter: Forest of Opportunity,WandringMinstrel
Shin Onigashima,Sixth Chapter: Sparrow's House,WandringMinstrel
Shin Onigashima,Staff Roll,WandringMinstrel
Shin Onigashima,Third Chapter: Inside the Fortress,WandringMinstrel
Super Mario Odyssey,Shiveria: Town,Sebastian
Super Mario Odyssey,Tostarena Ruins,Static
Super Smash Bros. Ultimate,Classic Mode: Defeat,Th3Gavst3r
Super Smash Bros. Ultimate,Final Destination,FiveNineSquared
Super Smash Bros. Ultimate,Gang-Plank Galleon,Yug Guy
Super Smash Bros. Ultimate,Main Theme Piano Solo,Latios212
Super Smash Bros. Ultimate,MEGALOVANIA,mastersuperfan
Super Smash Bros. Ultimate,Spectate,FiveNineSquared
Super Smash Bros. Ultimate,Stormy Saxophone 2 - KOF '96,Static
Super Smash Bros. Ultimate,The Light Realm: Prologue,FiveNineSquared
The Legend of Zelda: Tears of the Kingdom,Epilogue,XiaoMigros
The Legend of Zelda: Tears of the Kingdom,Main Theme,XiaoMigros
Star Fox Adventures,Snowhorn Ride,The Deku Trombonist
Star Fox Adventures,Thorntail Hollow,Jimbabwe
Star Fox Adventures,Thorntail Hollow (Night),Nintendude73
Star Fox Assault,Boss: Andrew Oikonny (Four Hands),amc
Star Fox Assault,Corneria (Two Pianos),Brassman388
Star Fox Assault,Fichina (Four Hands),Brassman388
Star Fox Assault,Hostilities Revisited (Sargasso Space Zone),Kricketune54
Star Fox Assault,Main Theme,MetroidHunter26
Star Fox Assault,Meteo (Four Hands),Brassman388
Star Fox Assault,Space Battleground,DS
Star Fox Assault,Star Wolf (Two Pianos),amc
Super Mario Sunshine,Bianco Hills,Bloop
Super Mario Sunshine,Boss Battle,V.E. Norman
Super Mario Sunshine,Deep Sea of Mare,Nacho2420
Super Mario Sunshine,Delfino Airstrip,E. Gadd Industries
Shin Onigashima,Third Chapter: Morning,WandringMinstrel
Shin Onigashima,Third Chapter: Oni Fortress,WandringMinstrel
Shin Onigashima,Title BGM,WandringMinstrel
Shingen the Ruler,Credits,Filippo Ritzu
Silkworm,Ending,Jacopo Tore
Solstice,Title Theme,Cashwarrior1
Spelunker,Ghost Approaching,LeviR.star
StarTropics,Dungeon,stellarlights24
StarTropics,Inside the Spaceship,Atcero
StarTropics,Overworld,WiiMan96
Super Mario Bros.,1-UP,The Deku Trombonist
Super Mario Bros.,Castle Theme,Latios212
Super Mario Bros.,Coin,Zeta
ActRaiser,Birth of the People,LeviR.star
Xenoblade Chronicles 2,Desolation,Mingmingasaur
Xenoblade Chronicles 2,Friendship,Latios212
Xenoblade Chronicles 2,Garfont Mercenaries,Libera
Xenoblade Chronicles 2,Land of Morytha,Libera
Xenoblade Chronicles 2,Loneliness,Libera
Xenoblade Chronicles 2,Orbital Ring,Libera
Xenoblade Chronicles 2,Our Eternal Land,Libera
Xenoblade Chronicles 2,Sea of Clouds,JZ
Xenoblade Chronicles 2,Spirit Crucible Elpys,Maelstrom
Xenoblade Chronicles 2,The Tomorrow With You,JZ
Xenoblade Chronicles 2,Tiger! Tiger!,Latios212
Xenoblade Chronicles 2,Where We Used to Be,eashwar
Xenoblade Chronicles 2: Torna ~ The Golden Country,"Auresco, Royal Capital/Night",Latios212
Super Mario Sunshine,Delfino Plaza,TheMarioPianist
Super Mario Sunshine,Delfino Police,BonusPwnage
Super Mario Sunshine,Event & Goal,E. Gadd Industries
Super Mario Sunshine,F.L.U.D.D.,WiiMan96
Super Mario Sunshine,Gelato Beach,E. Gadd Industries
Super Mario Sunshine,Pinna Park,Mitch Norris
Super Mario Sunshine,Ricco Harbor,E. Gadd Industries
Super Mario Sunshine,Sand Bird,Musical Toxin
Super Mario Sunshine,Secret Course,E. Gadd Industries
Super Mario Sunshine,Sludge Plant Battle,Musical Toxin
Super Mario Sunshine,The Manta Storm,E. Gadd Industries
Super Monkey Ball,Sand Stage Theme (Desert),Static
Super Monkey Ball,Storm Stage Theme,Static
Super Mario Bros.,Course Clear,The Deku Trombonist
Super Mario Bros.,Ending,The Deku Trombonist
Super Mario Bros.,Game Over,The Deku Trombonist
Super Mario Bros.,Ground Theme,Static
Super Mario Bros.,Hurry Up!,Sebastian
Super Mario Bros.,Invincible,The Deku Trombonist
Super Mario Bros.,Lost a Life,The Deku Trombonist
Super Mario Bros.,Underground Theme,The Deku Trombonist
Super Mario Bros.,Underwater Theme,The Deku Trombonist
Super Mario Bros.,World Clear,The Deku Trombonist
Super Mario Bros. 2,Battle with Wart,The Deku Trombonist
Super Mario Bros. 2,Boss,The Deku Trombonist
Super Mario Bros. 2,Ending,The Deku Trombonist
ActRaiser,Fillmore (Act-1),Atcero
Bubsy in Claws Encounters of the Furred Kind,Fair is Foul,Yug Guy
Chrono Trigger,A Prayer to the Road that Leads,G-Han
Chrono Trigger,A Shot of Crisis,G-Han
Chrono Trigger,At the Bottom of Night,Sam Waetford
Chrono Trigger,Battle 1,G-Han
Chrono Trigger,Battle 2,Static
Chrono Trigger,Battle with Magus,FierceDeity
Chrono Trigger,Black Omen,Static
Xenoblade Chronicles 2: Torna ~ The Golden Country,The Beginning of Our Memory,Latios212
Xenoblade Chronicles 3,Nia - Toward the Heavens,Latios212
Xenoblade Chronicles 3,Off-Seer,XiaoMigros
Xenoblade Chronicles: Definitive Edition,Beyond the Sky (Acoustic Arrangement),JZ
Yoshi's Crafted World,Main Theme,FiveNineSquared
Yoshi's Crafted World,Nighttime Crafts,cacabish
Super Monkey Ball 2,Bubbly Washing Machine Theme (World 7),Static
Super Smash Bros. Melee,All-Star Rest Area,Bespinben
Super Smash Bros. Melee,Big Blue,Zeila
Super Smash Bros. Melee,Brinstar,Zeila
Super Smash Bros. Melee,Brinstar (Four Hands),The Deku Trombonist
Super Smash Bros. Melee,Capt. Falcon's Victory,Zeila
Super Smash Bros. Melee,Corneria,Bespinben
Super Smash Bros. Melee,DK's Victory,Zeila
Super Smash Bros. Melee,Dr. Mario,Zeila
Super Mario Bros. 2,Fanfares,Olimar12345
Super Mario Bros. 2,Ground Theme,The Deku Trombonist
Super Mario Bros. 2,Player Select,Olimar12345
Super Mario Bros. 2,Title Theme,Olimar12345
Super Mario Bros. 2,Underground Theme,The Deku Trombonist
Super Mario Bros. 3,Airship Theme,Bespinben
Super Mario Bros. 3,Athletic Theme,Bespinben
Super Mario Bros. 3,Boss Battle,The Deku Trombonist
Super Mario Bros. 3,Bowser Battle,The Deku Trombonist
Chrono Trigger,Boss Battle 2,Maelstrom
Chrono Trigger,Brink of Time,Sam Waetford
Chrono Trigger,Chrono Trigger,Maelstrom
Chrono Trigger,Corridors of Time,Static
Chrono Trigger,Courage and Pride,Static
Chrono Trigger,Epilogue - To Good Friends,Sam Waetford
Chrono Trigger,Fanfare 1 (Lucca's Theme),G-Han
Chrono Trigger,Far Off Promise,FierceDeity
Chrono Trigger,First Festival of the Stars,Sam Waetford
Chrono Trigger,Frog's Theme,Maelstrom
Chrono Trigger,Gato's Song,Static
Chrono Trigger,Kingdom Trial,Sam Waetford
Chrono Trigger,Lab 16's Ruins,G-Han
Chrono Trigger,Lavos' Theme,Maelstrom
Super Smash Bros. Melee,Final Destination,Bespinben
Super Smash Bros. Melee,Final Destination (Four Hands),The Deku Trombonist
Super Smash Bros. Melee,Fire Emblem,Zeila
Super Smash Bros. Melee,Fire Emblem Team Victory,Hoji
Super Smash Bros. Melee,Flat Zone,Zeila
Super Smash Bros. Melee,Fountain of Dreams,Zeila
Super Smash Bros. Melee,Fox's Victory,"Fabian ""JFK"" Kuhnlein"
Super Smash Bros. Melee,Hammer,WaluigiTime64
Super Smash Bros. Melee,Ice Climbers' Victory,Yug Guy
Super Smash Bros. Melee,Icicle Mountain,Zeila
Super Mario Bros. 3,Coin Heaven,The Deku Trombonist
Super Mario Bros. 3,Ending,The Deku Trombonist
Super Mario Bros. 3,Fortress Theme,Latios212
Super Mario Bros. 3,Ground Theme,The Deku Trombonist
Super Mario Bros. 3,Hammer Bros.,The Deku Trombonist
Super Mario Bros. 3,Miscellaneous Short Themes,LeviR.star
Super Mario Bros. 3,Music Box,Latios212
Super Mario Bros. 3,Toad House,The Deku Trombonist
Super Mario Bros. 3,Underground Theme,Latios212
Super Mario Bros. 3,Underwater Theme,The Deku Trombonist
Super Mario Bros. 3,World 1 (Grass Land),Latios212
Chrono Trigger,Manoria Cathedral,G-Han
Chrono Trigger,Memories of Green,Sam Waetford
Chrono Trigger,Morning Sunlight,G-Han
Chrono Trigger,Peaceful Days,Sam Waetford
Chrono Trigger,Presentiment,G-Han
Chrono Trigger,Remains of the Factory,Static
Chrono Trigger,Robo Gang Johnny,Static
Chrono Trigger,Robo's Theme,G-Han
Chrono Trigger,Silent Light,Adrian Currier
Chrono Trigger,Singing Mountain,G-Han
Chrono Trigger,The Day the World Revived,Static
Chrono Trigger,Tyran Castle,Static
Super Smash Bros. Melee,Kirby's Victory,Hoji
Super Smash Bros. Melee,Mario's Victory,Hoji
Super Smash Bros. Melee,Menu 1,Bespinben
Super Smash Bros. Melee,Mother,Latios212
Super Smash Bros. Melee,Mr. Game & Watch's Victory,Zeila
Super Smash Bros. Melee,Ness's Victory,Hoji
Super Smash Bros. Melee,Opening,Bespinben
Super Smash Bros. Melee,Pokémon Victory,Hoji
Super Smash Bros. Melee,Samus's Victory,Zeila
Super Smash Bros. Melee,Targets!,Th3Gavst3r
Super Smash Bros. Melee,Temple,Bespinben
Super Smash Bros. Melee,Tournament 1,Th3Gavst3r
Super Mario Bros. 3,World 2 (Desert Land),The Deku Trombonist
Super Mario Bros. 3,World 3 (Water Land),The Deku Trombonist
Super Mario Bros. 3,World 4 (Giant Land),The Deku Trombonist
Super Mario Bros. 3,World 5 (Sky Land),The Deku Trombonist
Super Mario Bros. 3,World 6 (Ice Land),Olimar12345
Super Mario Bros. 3,World 7 (Pipe Land),The Deku Trombonist
Super Mario Bros. 3,World 8 (Dark Land),The Deku Trombonist
Super Mario Bros.: The Lost Levels,Ending,Latios212
Super Pitfall,Balloon,Olimar12345
Super Pitfall,Dark World,Th3Gavst3r
Super Pitfall,Ending,Th3Gavst3r
Super Pitfall,Game Over,Olimar12345
Chrono Trigger,Wind Scene,G-Han
Chrono Trigger,Zeal Palace,Static
Contra III: The Alien Wars,It's Time for Revenge,Static
Demon's Crest,Dance of the Snowy Barrens,Atcero
Demon's Crest,Palace of Decadence,Atcero
Donkey Kong Country,Aquatic Ambience,The Deku Trombonist
Donkey Kong Country,Bonus Game Victory / Boss Defeated Jingle,Yug Guy
Donkey Kong Country,Bonus Room Blitz,Yug Guy
Donkey Kong Country,Cranky's Theme,Latios212
Donkey Kong Country,DK Island Swing,Maelstrom
Donkey Kong Country,Fear Factory,The Deku Trombonist
Donkey Kong Country,Forest Frenzy,Sekter77
Donkey Kong Country,Funky's Fugue,Yug Guy
Super Smash Bros. Melee,Yoshi's Island,Th3Gavst3r
Super Smash Bros. Melee,Yoshi's Victory,The Deku Trombonist
Super Smash Bros. Melee,Zelda Team Victory,Zeila
Tales of Symphonia,A Wood Carving Star,Riulyn
Tales of Symphonia,Far From Our World,HungryDragon
Tales of Symphonia,Fatalize,G-Han
Tales of Symphonia,Fighting of the Spirit,Sipan1234
Tales of Symphonia,Final Destination,Eclipse
Tales of Symphonia,Full Force,Zeila
Tales of Symphonia,Hidden Sorrow,Sipan1234
Tales of Symphonia,House of Salvation,Sipan1234
Super Pitfall,Main Theme,Olimar12345
Super Pitfall,Reprise,Olimar12345
Sweet Home,Basement Theme,Rwars
Sweet Home,Battle Theme,Rwars
Sweet Home,Cave Theme,Rwars
Sweet Home,Dire Situation,Rwars
Sweet Home,East Garden,Rwars
Sweet Home,Ending Theme,Rwars
Sweet Home,Final Battle,Rwars
Sweet Home,Fresco Theme,Rwars
Sweet Home,Ichirou's Demise,Rwars
Sweet Home,Lobby Theme,Rwars
Sweet Home,Mamiya & Ichirou's Theme,Rwars
Sweet Home,Mamiya's Room,Rwars
Donkey Kong Country,Gang-Plank Galleon,Yug Guy
Donkey Kong Country,Map,The Deku Trombonist
Donkey Kong Country,The Credits Concerto,The Deku Trombonist
Donkey Kong Country,Treetop Rock,Nine Lives
Donkey Kong Country 2: Diddy's Kong Quest,Bayou Boogie,Sebastian
Donkey Kong Country 2: Diddy's Kong Quest,Bonus Medley,Nine Lives
Donkey Kong Country 2: Diddy's Kong Quest,Boss Bossanova,JDMEK5
Donkey Kong Country 2: Diddy's Kong Quest,Crocodile Cacophony,Don Valentino
Donkey Kong Country 2: Diddy's Kong Quest,Flight of the Zinger,Nine Lives
Donkey Kong Country 2: Diddy's Kong Quest,Forest Interlude,Brassman388
Donkey Kong Country 2: Diddy's Kong Quest,Hot-Head Bop,Yug Guy
Donkey Kong Country 2: Diddy's Kong Quest,In a Snow-Bound Land,Yug Guy
Donkey Kong Country 2: Diddy's Kong Quest,Island Map,The Deku Trombonist
Donkey Kong Country 2: Diddy's Kong Quest,Jib Jig,Sebastian
Tales of Symphonia,Keen-Edged Blade,Sipan1234
Tales of Symphonia,Kratos,Riulyn
Tales of Symphonia,Last Battle (Will),Commander6
Tales of Symphonia,Lloyd,Zeila
Tales of Symphonia,On the Hill This Night,Sipan1234
Tales of Symphonia,Presea's Theme,Latios212
Tales of Symphonia,Shining Dew,Sipan1234
Tales of Symphonia,Sylvarant,G-Han
Tales of Symphonia,The End of a Thought,Sipan1234
The Legend of Zelda: Four Swords Adventures,Dampe's Cabin,The Deku Trombonist
The Legend of Zelda: Four Swords Adventures,Frozen Hyrule,LeviR.star
Sweet Home,West Island,Rwars
Taboo: The Sixth Sense,The Magician,Jacopo Tore
Target: Renegade,Levels 1-3: Parking Garage,Joeberryosponge
Teenage Mutant Ninja Turtles III: The Manhattan Project,Scene 1 - The Beach,Jean Of mArc
Tenchi wo Kurau II: Shokatsu Koumei Den,Forest,FireArrow
Tetris,High Score,Jacopo Tore
Tetris: The Soviet Mind Game,Troïka,YouAreNotATadpole
The 3-D Battles of WorldRunner,Stage Theme,Jacopo Tore
The Adventures of Lolo,Theme,kotorfanboy
The Flintstones: The Rescue of Dino & Hoppy,Title Theme & Ending,Th3Gavst3r
The Legend of Zelda,Death Mountain,The Deku Trombonist
Donkey Kong Country 2: Diddy's Kong Quest,K. Rool Returns,Dimentio
Donkey Kong Country 2: Diddy's Kong Quest,Klomp's Romp,Sebastian
Donkey Kong Country 2: Diddy's Kong Quest,Krook's March,Brassman388
Donkey Kong Country 2: Diddy's Kong Quest,Krook's March (Four Hands),Brassman388
Donkey Kong Country 2: Diddy's Kong Quest,Mining Melancholy,Yug Guy
Donkey Kong Country 2: Diddy's Kong Quest,Rambi Rumble,G-Han
Donkey Kong Country 2: Diddy's Kong Quest,School House Harmony,Sekter77
Donkey Kong Country 2: Diddy's Kong Quest,Snakey Chantey,Nine Lives
Donkey Kong Country 2: Diddy's Kong Quest,Stickerbush Symphony,Brassman388
Donkey Kong Country 3: Dixie Kong's Double Trouble!,Brothers Bear,Nine Lives
Donkey Kong Country 3: Dixie Kong's Double Trouble!,Rockface Rumble,Nine Lives
Donkey Kong Country 3: Dixie Kong's Double Trouble!,Treetop Tumble,Nine Lives
Dragon Quest V: Hand of the Heavenly Bride,The Almighty Boss Devil Is Challenged (Two Pianos),Brassman388
Dragon Quest VI: Realms of Revelation,Dungeon Theme,Joshua VanCleave
Drakkhen,Air Area (Day),The Deku Trombonist
The Legend of Zelda: Four Swords Adventures,Hyrule Fields,Cashwarrior1
The Legend of Zelda: Four Swords Adventures,Lake Hylia,The Deku Trombonist
The Legend of Zelda: Four Swords Adventures,Light Overworld,Whoppybones
The Legend of Zelda: Four Swords Adventures,Main Theme,Lkjhgfdsa_77
The Legend of Zelda: Four Swords Adventures,Realm of the Heavens,Maelstrom
The Legend of Zelda: Four Swords Adventures,The Terrace of the Two People,Don Valentino
The Legend of Zelda: The Wind Waker,Aryll's Theme,The Deku Trombonist
Galactic Pinball,Samus Minigame,Thomas Wilson
Mario's Tennis,Doubles Game 1,Olimar12345
The Legend of Zelda,Dungeon,G-Han
The Legend of Zelda,Ending,G-Han
The Legend of Zelda,Flute,The Deku Trombonist
The Legend of Zelda,Game Over,The Deku Trombonist
The Legend of Zelda,Ganon Appears and is Defeated,Seeker
The Legend of Zelda,Get Treasure Fanfare,Seeker
The Legend of Zelda,Get Triforce Fanfare,The Deku Trombonist
The Legend of Zelda,Overworld,JDMEK5
The Legend of Zelda,Title,The Deku Trombonist
